company_ticker,company_name,indication,target,class_peer_ticker,relationship_type,weight,rationale
VRTX,Vertex,Cystic Fibrosis,CFTR,,primary,1.0,"CF leader with approved therapies"
ABBV,AbbVie,Cystic Fibrosis,CFTR,,competitor,0.3,"Evaluating CF programs"
SRPT,Sarepta,Duchenne MD,Dystrophin,,primary,1.0,"DMD gene therapy leader"
PFE,Pfizer,Duchenne MD,Dystrophin,SRPT,competitor,0.6,"Acquired DMD asset from Bamboo"
IONS,Ionis,Spinal Muscular Atrophy,SMN,,competitor,0.6,"SMA antisense (Spinraza)"
RHHBY,Roche,Spinal Muscular Atrophy,SMN,IONS,competitor,0.6,"SMA oral (Evrysdi)"
BIIB,Biogen,Spinal Muscular Atrophy,SMN,IONS,competitor,0.6,"Commercializes Spinraza"
NVO,Novo Nordisk,Type 2 Diabetes,GLP-1,,primary,1.0,"GLP-1 leader (Ozempic/Wegovy)"
LLY,Eli Lilly,Type 2 Diabetes,GLP-1,NVO,competitor,0.6,"GLP-1 (Mounjaro/Zepbound)"
AMGN,Amgen,Type 2 Diabetes,GLP-1,NVO,competitor,0.6,"GLP-1 programs in development"
REGN,Regeneron,Type 2 Diabetes,GLP-1,NVO,competitor,0.3,"Early GLP-1 programs"
PFE,Pfizer,Type 2 Diabetes,GLP-1,NVO,competitor,0.3,"Oral GLP-1 in development"
VRTX,Vertex,Type 1 Diabetes,Beta Cell,,primary,1.0,"Stem cell-derived islets"
NVO,Novo Nordisk,Obesity,GLP-1,,primary,1.0,"Obesity leader (Wegovy)"
LLY,Eli Lilly,Obesity,GLP-1,NVO,competitor,0.6,"Obesity (Zepbound)"
ALNY,Alnylam,ATTR Amyloidosis,TTR,,primary,1.0,"RNAi for ATTR (Onpattro/Amvuttra)"
PFE,Pfizer,ATTR Amyloidosis,TTR,ALNY,competitor,0.6,"Oral ATTR stabilizer (Vyndaqel)"
IONS,Ionis,ATTR Amyloidosis,TTR,ALNY,competitor,0.6,"Antisense ATTR programs"
ALNY,Alnylam,Hemophilia,Factor XI,,primary,1.0,"Factor XI RNAi"
BMY,Bristol Myers Squibb,Hemophilia,Factor XI,ALNY,competitor,0.6,"Factor XI inhibitor (milvexian)"
JNJ,Johnson & Johnson,Hemophilia,Factor XI,ALNY,competitor,0.6,"Factor XI programs"
BIIB,Biogen,Hemophilia A,Factor VIII,,primary,1.0,"Hemophilia A gene therapy"
BMRN,BioMarin,Hemophilia A,Factor VIII,BIIB,competitor,0.6,"Gene therapy (Roctavian)"
SRPT,Sarepta,Hemophilia A,Factor VIII,BIIB,competitor,0.3,"Hemophilia programs"
CRSP,CRISPR Therapeutics,Sickle Cell Disease,BCL11A,,primary,1.0,"Gene editing (exagamglogene/exa-cel)"
VRTX,Vertex,Sickle Cell Disease,BCL11A,CRSP,competitor,0.6,"Partner on exa-cel"
BLUE,bluebird bio,Sickle Cell Disease,Beta Globin,,competitor,0.6,"Gene therapy (LentiGlobin)"
EDIT,Editas,Sickle Cell Disease,BCL11A,CRSP,competitor,0.6,"CRISPR editing programs"
CRSP,CRISPR Therapeutics,Beta Thalassemia,BCL11A,,primary,1.0,"Gene editing (exa-cel)"
BLUE,bluebird bio,Beta Thalassemia,Beta Globin,CRSP,competitor,0.6,"Gene therapy (Zynteglo)"
ABBV,AbbVie,Rheumatoid Arthritis,TNF,,primary,1.0,"TNF leader (Humira)"
AMGN,Amgen,Rheumatoid Arthritis,TNF,ABBV,competitor,0.6,"TNF (Enbrel)"
JNJ,Johnson & Johnson,Rheumatoid Arthritis,TNF,ABBV,competitor,0.6,"TNF (Remicade/Simponi)"
ABBV,AbbVie,Rheumatoid Arthritis,JAK,,primary,1.0,"JAK (Rinvoq)"
PFE,Pfizer,Rheumatoid Arthritis,JAK,ABBV,competitor,0.6,"JAK (Xeljanz)"
LLY,Eli Lilly,Rheumatoid Arthritis,JAK,ABBV,competitor,0.6,"JAK (Olumiant)"
INCY,Incyte,Rheumatoid Arthritis,JAK,ABBV,competitor,0.6,"JAK (Jakafi)"
ABBV,AbbVie,Psoriasis,IL-23,,primary,1.0,"IL-23 (Skyrizi)"
JNJ,Johnson & Johnson,Psoriasis,IL-23,ABBV,competitor,0.6,"IL-23 (Tremfya)"
LLY,Eli Lilly,Psoriasis,IL-23,ABBV,competitor,0.6,"IL-17 (Taltz)"
ABBV,AbbVie,Crohn's Disease,IL-23,,primary,1.0,"IL-23 (Skyrizi)"
JNJ,Johnson & Johnson,Crohn's Disease,IL-23,ABBV,competitor,0.6,"IL-23/12 (Stelara)"
ABBV,AbbVie,Ulcerative Colitis,IL-23,,primary,1.0,"IL-23 (Skyrizi)"
JNJ,Johnson & Johnson,Ulcerative Colitis,IL-23,ABBV,competitor,0.6,"IL-23/12 (Stelara)"
REGN,Regeneron,Atopic Dermatitis,IL-4R,,primary,1.0,"IL-4Rα (Dupixent)"
SNY,Sanofi,Atopic Dermatitis,IL-4R,REGN,competitor,0.6,"Partner on Dupixent"
LLY,Eli Lilly,Atopic Dermatitis,IL-13,REGN,competitor,0.6,"IL-13 (lebrikizumab)"
PFE,Pfizer,Atopic Dermatitis,JAK,REGN,competitor,0.6,"JAK (Cibinqo/abrocitinib)"
MRK,Merck,NSCLC,PD-1,,primary,1.0,"PD-1 leader (Keytruda)"
BMY,Bristol Myers Squibb,NSCLC,PD-1,MRK,competitor,0.6,"PD-1 (Opdivo)"
RHHBY,Roche,NSCLC,PD-L1,MRK,competitor,0.6,"PD-L1 (Tecentriq)"
AZN,AstraZeneca,NSCLC,PD-L1,MRK,competitor,0.6,"PD-L1 (Imfinzi)"
MRK,Merck,Melanoma,PD-1,,primary,1.0,"PD-1 (Keytruda)"
BMY,Bristol Myers Squibb,Melanoma,PD-1,MRK,competitor,0.6,"PD-1 (Opdivo) + CTLA-4 (Yervoy)"
RHHBY,Roche,HER2+ Breast,HER2,,primary,1.0,"HER2 ADC (Enhertu)"
AZN,AstraZeneca,HER2+ Breast,HER2,RHHBY,competitor,0.6,"Partner on Enhertu"
SGEN,Seagen,HER2+ Breast,HER2,RHHBY,competitor,0.6,"ADC specialist (acquired by Pfizer)"
PFE,Pfizer,HER2+ Breast,HER2,RHHBY,competitor,0.6,"Acquired Seagen ADC portfolio"
GILD,Gilead,Urothelial Cancer,Nectin-4,,primary,1.0,"ADC (Trodelvy)"
