entity_type,canonical_name,ticker,aliases,notes
company,Pfizer,PFE,"Pfizer Inc|Pfizer Pharmaceuticals","Large pharma"
company,Moderna,MRNA,"Moderna Inc|Moderna Therapeutics","mRNA biotech"
company,BioNTech,BNTX,"BioNTech SE","mRNA biotech"
company,Regeneron,REGN,"Regeneron Pharmaceuticals","Antibody specialist"
company,Vertex,VRTX,"Vertex Pharmaceuticals","CF and rare disease"
company,Biogen,BIIB,"Biogen Inc|Biogen Idec","Neurology focus"
company,Amgen,AMGN,"Amgen Inc","Large biotech"
company,Gilead,GILD,"Gilead Sciences","Antiviral and oncology"
company,AbbVie,ABBV,"AbbVie Inc","Immunology leader"
company,Bristol Myers Squibb,BMY,"BMS|Bristol-Myers Squibb","Oncology and immunology"
company,Merck,MRK,"Merck & Co|MSD","Keytruda maker"
company,Johnson & Johnson,JNJ,"J&J|Janssen","Diversified pharma"
company,Novartis,NVS,"Novartis AG","Swiss pharma"
company,Roche,RHHBY,"Roche Holdings|Genentech","Swiss pharma, owns Genentech"
company,Sanofi,SNY,"Sanofi SA","French pharma"
company,AstraZeneca,AZN,"AstraZeneca PLC","UK pharma"
company,Eli Lilly,LLY,"Eli Lilly and Company|Lilly","Diabetes and oncology"
company,Novo Nordisk,NVO,"Novo Nordisk A/S","Diabetes leader"
company,Takeda,TAK,"Takeda Pharmaceutical","Japanese pharma"
company,Bayer,BAYRY,"Bayer AG","German pharma"
company,GSK,GSK,"GlaxoSmithKline|Glaxo","UK pharma"
company,Genmab,GMAB,"Genmab A/S","Antibody biotech"
company,Seagen,SGEN,"Seagen Inc|Seattle Genetics","ADC specialist (acquired by Pfizer)"
company,Incyte,INCY,"Incyte Corporation","JAK inhibitors"
company,BeiGene,BGNE,"BeiGene Ltd","China biotech"
company,Alnylam,ALNY,"Alnylam Pharmaceuticals","RNAi therapeutics"
company,Argenx,ARGX,"Argenx SE","Antibody platform"
company,Sarepta,SRPT,"Sarepta Therapeutics","DMD gene therapy"
company,Alexion,ALXN,"Alexion Pharmaceuticals","Rare disease (acquired by AstraZeneca)"
company,Ultragenyx,RARE,"Ultragenyx Pharmaceutical","Rare disease"
company,BioMarin,BMRN,"BioMarin Pharmaceutical","Rare disease"
company,Scholar Rock,SRRK,"Scholar Rock Holding","Muscle disease"
